,Member,Party Name,Constituency
150,"Hegde, Shri Anantkumar",Bharatiya Janata Party,Uttara Kannada (Karnataka)
151,"Hema Malini, Smt.",Bharatiya Janata Party,Mathura (Uttar Pradesh)
152,"Hembram, Shri Kunar",Bharatiya Janata Party,Jhargram (ST)(West Bengal)
153,"Irani, Smt. Smriti Zubin",Bharatiya Janata Party,Amethi (Uttar Pradesh)
154,"Jadhav, Shri Prataprao",Shiv Sena,Buldhana (Maharashtra)
155,"Jadhav, Shri Sanjay Haribhau",Shiv Sena,Parbhani (Maharashtra)
156,"Jadhav, Dr. Umesh G.",Bharatiya Janata Party,Gulbarga (SC)(Karnataka)
157,"Jagathrakshakan, Shri S.",Dravida Munnetra Kazhagam,Arakkonam (Tamil Nadu)
158,"Jai Prakash, Shri",Bharatiya Janata Party,Hardoi (SC)(Uttar Pradesh)
159,"Jaiswal, Dr. Sanjay",Bharatiya Janata Party,Paschim Champaran (Bihar)
160,"Jardosh, Smt. Darshana Vikram",Bharatiya Janata Party,Surat (Gujarat)
161,"Jatua, Shri Choudhury Mohan",All India Trinamool Congress,Mathurapur (SC)(West Bengal)
162,"Jaunapuria, Shri Sukhbir Singh",Bharatiya Janata Party,Tonk-Sawai Madhopur (Rajasthan)
163,"Jawed, Dr. Mohammad",Indian National Congress,Kishanganj (Bihar)
164,"Jayakumar, Dr. K.",Indian National Congress,Tiruvallur (SC)(Tamil Nadu)
165,"Jigajinagi, Shri Ramesh Chandappa",Bharatiya Janata Party,Bijapur (SC)(Karnataka)
166,"Jolle, Shri Annasaheb Shankar",Bharatiya Janata Party,Chikkodi (Karnataka)
167,"Joshi, Prof. Rita Bahuguna",Bharatiya Janata Party,Allahabad (Uttar Pradesh)
168,"Joshi, Shri Chandra Prakash",Bharatiya Janata Party,Chittorgarh (Rajasthan)
169,"Joshi, Shri Pralhad Venkatesh",Bharatiya Janata Party,Dharwad (Karnataka)
170,"Jothi Mani, Ms. S.",Indian National Congress,Karur (Tamil Nadu)
171,"Jyoti, Sadhvi Niranjan",Bharatiya Janata Party,Fatehpur (Uttar Pradesh)
172,"K. Navas, Shri Kani",Indian Union Muslim League,Ramanathapuram (Tamil Nadu)
173,"Kachhadiya, Shri Naranbhai Bhikhabhai",Bharatiya Janata Party,Amreli (Gujarat)
174,"Kaiser, Choudhary Mehboob Ali",Lok Jan Shakti Party,Khagaria (Bihar)
175,"Kalanidhi, Dr. Veeraswamy",Dravida Munnetra Kazhagam,Chennai North (Tamil Nadu)
176,"Kamait, Shri Dileshwar",Janata Dal (United),Supaul (Bihar)
177,"Kanumuru, Shri Raghu Ramakrishna Raju",Yuvajana Sramika Rythu Congress Party,Narsapuram (Andhra Pradesh)
178,"Kapoor, Shri Kishan",Bharatiya Janata Party,Kangra (Himachal Pradesh)
179,"Karadi, Shri Sanganna Amarappa",Bharatiya Janata Party,Koppal (Karnataka)
180,"Karandlaje, Km. Shobha",Bharatiya Janata Party,Udupi Chikmagalur (Karnataka)
181,"Karunanidhi, Smt. Kanimozhi",Dravida Munnetra Kazhagam,Thoothukkudi (Tamil Nadu)
182,"Kashyap, Shri Dharmendra Kumar",Bharatiya Janata Party,Aonla (Uttar Pradesh)
183,"Kashyap, Shri Suresh Kumar",Bharatiya Janata Party,Shimla (SC)(Himachal Pradesh)
184,"Kaswan, Shri Rahul",Bharatiya Janata Party,Churu (Rajasthan)
185,"Katara, Shri Kanakmal",Bharatiya Janata Party,Banswara (ST)(Rajasthan)
186,"Kataria, Shri Rattan Lal",Bharatiya Janata Party,Ambala (SC)(Haryana)
187,"Kateel, Shri Nalin Kumar",Bharatiya Janata Party,Dakshina Kannada (Karnataka)
188,"Katheria, Prof. (Dr.) Ram Shankar",Bharatiya Janata Party,Etawah (SC)(Uttar Pradesh)
189,"Kathir Anand, Shri Durai Murugan",Dravida Munnetra Kazhagam,Vellore (Tamil Nadu)
190,"Kaur, Smt. Preneet",Indian National Congress,Patiala (Punjab)
191,"Kaushik, Shri Ramesh Chander",Bharatiya Janata Party,Sonipat (Haryana)
192,"Kesineni, Shri Srinivas",Telugu Desam Party,Vijayawada (Andhra Pradesh)
193,"Khadse, Smt. Raksha Nikhil",Bharatiya Janata Party,Raver (Maharashtra)
194,"Khaleque, Shri Abdul",Indian National Congress,Barpeta (Assam)
195,"Khan, Shri Abu Taher",All India Trinamool Congress,Murshidabad (West Bengal)
196,"Khan, Shri Mohammad Azam",Samajwadi Party,Rampur (Uttar Pradesh)
197,"Kher, Smt. Kirron",Bharatiya Janata Party,Chandigarh (Chandigarh)
198,"Khuba, Shri Bhagwanth",Bharatiya Janata Party,Bidar (Karnataka)
199,"Kirtikar, Shri Gajanan Chandrakant",Shiv Sena,Mumbai-North-West (Maharashtra)
